PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;64283937;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20250530;20250530;;12063472;Pulèín;6774;Pulèín;-490717.78;-1168368.08;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 5, Management: bez managementu;bot_inv-1045943;;1;20250610
2;64249525;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Kalníková Veronika;20250427;20250427;;12034841;Ronov pod Radhoštìm, Hradisko, rud. plocha po vıøezu køovin;6574;Ronov pod Radhoštìm;-485577.8;-1142871.22;KALNÍKOVÁ V. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kalníková Veronika;0;vìrohodnı záznam;;Návrh validace;;;;;;;;2;20250605;20250604;23597
3;64217625;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20250522;20250522;;12010898;Zubøí;6474;Zubøí;-486408.42;-1137553.28;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 1, Management: bez managementu;bot_inv-1043364;;1;20250530
4;64217610;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20250522;20250522;;12011562;Zubøí;6474;Zubøí;-486353.05;-1137463.99;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 1, Management: bez managementu;bot_inv-1043416;;1;20250530
5;64217388;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20250522;20250522;;12011316;Zubøí;6474;Zubøí;-486322.14;-1137423.73;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 10, Management: bez managementu;bot_inv-1043447;;1;20250530
6;64217155;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20250522;20250522;;12011578;Zubøí;6574;Zubøí;-487488.83;-1140322.24;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 6, Management: bez managementu;bot_inv-1043431;;1;20250530
7;64217039;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20250522;20250522;;12010882;Zubøí;6474;Zubøí;-486294.07;-1137324.25;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 10, Management: bez managementu;bot_inv-1043403;;1;20250530
8;64110128;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20250516;20250516;;11954655;Lideèko;6774;Lideèko;-493423.24;-1167515.25;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 30, Management: bez managementu;bot_inv-1041954;;1;20250517
9;64110105;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20250516;20250516;;11954632;Pulèín;6774;Pulèín;-490354.33;-1166343.34;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;hojnì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 10, Management: bez managementu;bot_inv-1041928;;1;20250517
10;64110097;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20250516;20250516;;11954627;Pulèín;6774;Pulèín;-490362.12;-1166332.17;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 4, Management: bez managementu;bot_inv-1041971;;1;20250517
11;64110095;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20250516;20250516;;11954673;Pulèín;6774;Pulèín;-490346.61;-1166337.82;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;0;vìrohodnı záznam;;Návrh validace;;;;;Vitalita: dobrá, Plocha populace: 1, Management: bez managementu;bot_inv-1041950;;1;20250517
